Lecture index,Verbose,コードの有無(Exist: Y/N)
lecture001,section01    lecture001:,N
lecture002,section01    lecture002:,N
lecture003,section01    lecture003:,N
lecture004,section02    lecture004:,N
lecture005,section02    lecture005:,N
lecture006,section02    lecture006:,N
lecture007,section02    lecture007:,N
lecture008,section03    lecture008: 変数宣言,Y
lecture009,section03    lecture009: まずはprintで出力,Y
lecture010,section03    lecture010: 数値,Y
lecture011,section03    lecture011: 文字列,Y
lecture012,section03    lecture012: 文字列のインデックスとスライス,Y
lecture013,section03    lecture013: 文字のメソッド,Y
lecture014,section03    lecture014: 文字の代入,Y
lecture015,section03    lecture015: f-strings,N
lecture016,section04    lecture016: リスト型,N
lecture017,section04    lecture017: リストの操作,N
lecture018,section04    lecture018: リストのメソッド,Y
lecture019,section04    lecture019: リストのコピー,Y
lecture020,section04    lecture020: リストの使い所,N
lecture021,section04    lecture021: タプル型,N
lecture022,section04    lecture022: タプルのアンパッキング,Y
lecture023,section04    lecture023: タプルの使い所,Y
lecture024,section04    lecture024: 辞書型,N
lecture025,section04    lecture025: 辞書型のメソッド,N
lecture026,section04    lecture026: 辞書のコピー,Y
lecture027,section04    lecture027: 辞書の使い所,Y
lecture028,section04    lecture028: 集合型,N
lecture029,section04    lecture029: 集合のメソッド,N
lecture030,section04    lecture030: 集合の使い所,Y
lecture031,section05    lecture031: コメント,Y
lecture032,section05    lecture032: 1行が長くなる時,N
lecture033,section05    lecture033: if文,Y
lecture034,section05    lecture034: デバッカーを使って確認してみる,Y
lecture035,section05    lecture035: 論理演算子,N
lecture036,section05    lecture036: InとNotの使い所,Y
lecture037,section05    lecture037: 値が入っていない判定をするテクニック,Y
lecture038,section05    lecture038: Noneを判定する場合,Y
lecture039,section05    lecture039: while文とcontinue文とbreak文,Y
lecture040,section05    lecture040: while else文,Y
lecture041,section05    lecture041: input関数,Y
lecture042,section05    lecture042: for文とbreak文とcontinue文,Y
lecture043,section05    lecture043: for else文,Y
lecture044,section05    lecture044: range関数,Y
lecture045,section05    lecture045: enumerate関数,Y
lecture046,section05    lecture046: zip関数,Y
lecture047,section05    lecture047: 辞書をfor文で処理する,Y
lecture048,section05    lecture048: 関数定義,Y
lecture049,section05    lecture049: 関数の引数と返り値の宣言,Y
lecture050,section05    lecture050: 位置引数とキーワード引数とデフォルト引数,Y
lecture051,section05    lecture051: デフォルト引数で気をつきること,Y
lecture052,section05    lecture052: 位置引数のタプル化,Y
lecture053,section05    lecture053: キーワード引数の辞書化,Y
lecture054,section05    lecture054: Docstringとは,Y
lecture055,section05    lecture055: 関数内関数,Y
lecture056,section05    lecture056: クロージャー,Y
lecture057,section05    lecture057: デコレーター,Y
lecture058,section05    lecture058: ラムダ,Y
lecture059,section05    lecture059: ジェネレータ,Y
lecture060,section05    lecture060: リスト内包表記,Y
lecture061,section05    lecture061: 辞書内包表記,Y
lecture062,section05    lecture062: 集合内包表記,Y
lecture063,section05    lecture063: ジェネレータ内包表記,Y
lecture064,section05    lecture064: 名前空間とスコープ,Y
lecture065,section05    lecture065: 例外処理,Y
lecture066,section05    lecture066: 独自例外の作成,Y
lecture067,section06    lecture067: コマンドライン引数,Y
lecture068,section06    lecture068: import文とAS,Y
lecture069,section06    lecture069: 絶対パスと相対パスのimport,Y
lecture070,section06    lecture070: アスタリスクのインポートと__init__.pyと__all__の意味,Y
lecture071,section06    lecture071: importErrorの使い所,Y
lecture072,section06    lecture072: setup.pyでパッケージ化して配布する,Y
lecture073,section06    lecture073: 組み込み関数,Y
lecture074,section06    lecture074: 標準ライブラリ,Y
lecture075,section06    lecture075: サードパーティーのライブラリ,Y
lecture076,section06    lecture076: importする際の記述の仕方,N
lecture077,section06    lecture077: __name__と__main__,Y
lecture078,section07    lecture078: クラスの定義,Y
lecture079,section07    lecture079: クラスの初期化とクラス変数,Y
lecture080,section07    lecture080: コンストラクタとデクストラクタ,Y
lecture081,section07    lecture081: クラス継承,Y
lecture082,section07    lecture082: メソッドのオーバーライドとsuperによる親のメソッドの呼び出し,Y
lecture083,section07    lecture083: プロパティーを使った属性の設定,Y
lecture084,section07    lecture084: クラスを構造体として扱う時の注意点,Y
lecture085,section07    lecture085: ダックタイピング,Y
lecture086,section07    lecture086: 抽象クラス,Y
lecture087,section07    lecture087: 多重継承,Y
